algr6548;aleksander@mail.dk;45674567;Ungarnsgade 23;false
gusø0829;gustav@gmail.com;49293939;Litaunsgade 4;false
anlu5669;anders@mail.dk;49283847;Polensgade 33;true
bolu9069;anders@mail.dk;49283847;Polensgade 35;true
bolu9469;anders@mail.dk;49283847;Polensgade 37;true
bolu5649;anders@mail.dk;49283847;Polensgade 39;true
gulu5439;anders@mail.dk;49283847;Polensgade 42;true
allu5329;anders@mail.dk;49283847;Polensgade 92;true
joha4941;Jonas@mga.dk;58686868;Estlandsgade 4;true
alek6548;aleksandra@mail.dk;45674567;Ungarnsgade 23;true
gusø0839;gustava@gmail.com;49293939;Litaunsgade 4;true
amlu5869;andrea@mail.dk;49283847;Polensgade 32;true
bilu5869;bianca@mail.dk;49283847;Polensgade 62;true
belu5869;benjamin@mail.dk;49283847;Polensgade 12;true
bllu5869;bella@mail.dk;49283847;Polensgade 22;true
galu5869;gabriele@mail.dk;49283847;Polensgade 38;true
aalu5869;aleksandra@mail.dk;49283847;Polensgade 32;true
joha4941;johanna@mga.dk;58686868;Estlandsgade 4;true
mani7890;markus@gmail.com;67452310;Sverigevej 17;true
chip8732;christina@yahoo.com;51234567;Norgesgade 8;true
lar5678;lars@hotmail.com;75432109;Finlandsgade 12;true
mate4321;mathilde@mail.dk;63218765;Spaniengade 45;true
sara9789;søren@gmail.com;59874523;Portugalsvej 56;true
thor5467;lærke@yahoo.com;47659832;Tysklandsgade 89;true
empe0912;emilie@mail.dk;68901234;Irlandsgade 72;true
dani1234;daniel@hotmail.com;82345678;Belgiengade 21;true
miah567;andrea@gmail.com;93567890;Hollandsvej 32;true
olij6789;oskar@mail.dk;70123456;Luxembourggade 14;true
caro9876;sofie@yahoo.com;81234567;Østrigsgade 43;true
fred6345;magnus@hotmail.com;96789012;Slovakietvej 76;true
jula5678;camilla@gmail.com;64567890;Tjekkietgade 19;true
nkoc3123;nikoline@mail.dk;78901234;Grækenlandsgade 54;true
mets2456;marcus@yahoo.com;87654321;Makedonienvej 87;true
raso1789;albert@mail.dk;65432109;Serbienvej 65;true
natp9789;victoria@gmail.com;54321098;Montenegrogade 23;true
henm3456;frederik@hotmail.com;89012345;Kroatienvej 34;true
loua5672;amelia@mail.dk;43210987;Bosnien-Hercegovinagade 76;true
mikr0123;oscar@yahoo.com;76543210;Albanienvej 12;true
perm7894;isabella@gmail.com;89012345;Rumænienvej 56;true
